Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
immigration_focus;Population;;;;;;;;;;;;;
gendarmerie;Gendarmerie;;;;;;;;;;;;;
gendarmerie_desc;A gendarmerie is a military force with law enforcement duties among the civilian population.;;;;;;;;;;;;;
proclaim_republic_title;§EFound the Republic§!;;;;;;;;;;;;;
proclaim_republic_desc;We have become the masters of our political destiny, the power of the monarchy has been ceded to the parliament and chancellor, and by extension to ourselves. Now we have within our grasp the ability to finish the job peacefully, and to make We The People the formal basis of our sovereignty!;;;;;;;;;;;;;
TUR_presidential_dictatorship;The Sublime Porte;Turquie;Türkei;;Turquía;;;;;;;;;
TUR_presidential_dictatorship_ADJ;Ottoman;Turc;Türkisch;;turca;;;;;;;;;
TUR_democracy;The Ottoman Federation;Turquie;Türkei;;Turquía;;;;;;;;;
TUR_democracy_ADJ;Ottoman;Turc;Türkisch;;turca;;;;;;;;;
TUR_bourgeois_dictatorship;Near East Free Federation;;;;;;;;;;;;;
TUR_bourgeois_dictatorship_ADJ;Ottoman;;;;;;;;;;;;;
TUR_fascist_dictatorship;Supreme Ottoman State;;;;;;;;;;;;;
TUR_proletarian_dictatorship;Ottoman Socialist Republic;;;;;;;;;;;;;
TUR_proletarian_dictatorship_ADJ;Ottoman;;;;;;;;;;;;;
all_of_mexico_title;All of Mexico!;;;;;;;;;;;;;
all_of_mexico_desc;It is not enough to have empty lands, all Mexicans are Americans! §YNOTE: Not an option once the civil war starts.§!;;;;;;;;;;;;;
cultural_expansion_title;Expand the Federation!;;;;;;;;;;;;;
cultural_expansion_desc;Whilst we have made excellent progress regardless of our cultures, some are still left out. It is time to bring them as full citizens into the Federation.;;;;;;;;;;;;;
EVT90056OPTB;They have their sphere, we have ours;;;;;;;;;;;;;
EVTNAME777789;New Republican Constitution;;;;;;;;;;;;;
EVTDESC777789;Discussions are ongoing in our new republic as to how centeralised we should be:;;;;;;;;;;;;;
EVTOPTA777789;Confederalism;;;;;;;;;;;;;
EVTOPTB777789;Regionalism;;;;;;;;;;;;;
EVTOPTC777789;Federalism;;;;;;;;;;;;;
EVTOPTD777789;Unitary;;;;;;;;;;;;;
contraception;Contraception;;;;;;;;;;;;;
contraception_desc;The recent proliferation of conttraception amoung out populace is having a negative effect on our growth rate.;;;;;;;;;;;;;
popular_prophylactic;Popular Prophylactics;;;;;;;;;;;;;
